region	tags	indicator	Всего / 3	Из графы 3 прошли за последние три года: / повышение квалифика-ции и (или) профессио-нальную перепод-готовку / 4	Из графы 3 прошли за последние три года: / из них: / по профилю педагогиче-ской деятельнос-ти / 5	Из графы 3 прошли за последние три года: / из них: / по использова-нию информа-ционных и коммуника-ционных технологий / 6	Из графы 3 прошли за последние три года: / из них: / в форме стажировки / 7	Из графы 3 прошли за последние три года: / в том числе (из гр. 7) в ведущих российских и зарубежных университе- тах и научных центрах / 8	Из графы 3 прошли за последние три года: / из них (из гр. 8) в зарубежных университе-тах и научных центрах / 9	Из граф 4-8 прошли в предыдущем учебном году: / повышение квалифика- ции и (или) профессио-нальную перепод-готовку (из гр. 4) / 10	Из граф 4-8 прошли в предыдущем учебном году: / из них: / по профилю педагогиче- ской деятельнос-ти (из гр. 5) / 11	Из граф 4-8 прошли в предыдущем учебном году: / из них: / по использова-нию информа-ционных и коммуника-ционных технологий (из гр. 6) / 12	Из граф 4-8 прошли в предыдущем учебном году: / из них: / в форме стажировки (из гр. 7) / 13	Из граф 4-8 прошли в предыдущем учебном году: / в том числе (из гр. 8) в ведущих российских и зарубежных университе- тах и научных центрах / 14	Из граф 4-8 прошли в предыдущем учебном году: / из них (из гр. 9) в зарубежных университе-тах и научных центрах / 15
Архангельская область	персонал; Государственные, Муниципальные	Педагогические работники - всего (сумма строк 07,17): / 06	930.0	807.0	616.0	574.0	26.0	12.0	4.0	497.0	232.0	172.0	17.0	4.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Руководящий персонал - всего / 01	329.0	126.0	78.0	45.0	0.0	0.0	0.0	79.0	41.0	16.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Специалисты по информационным и коммуникационным технологиям – всего (сумма строк 22 - 31) / 21	71.0	12.0	4.0	3.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 20	351.0	95.0	23.0	55.0	2.0	2.0	0.0	37.0	9.0	15.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	ассистенты / 16	57.0	51.0	36.0	44.0	0.0	0.0	0.0	30.0	11.0	18.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в  сфере информационно-коммуникационных  технологий / 22	10.0	4.0	2.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	в том числе: деканы факультетов / 09	10.0	10.0	9.0	10.0	0.0	0.0	0.0	8.0	3.0	6.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	в том числе: профессорско-преподавательский  состав - всего: / 07	902.0	785.0	594.0	572.0	26.0	12.0	4.0	480.0	215.0	172.0	17.0	4.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 27	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	директор филиала / 05	4.0	3.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	директора институтов / 11	9.0	9.0	6.0	4.0	0.0	0.0	0.0	7.0	4.0	1.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	доценты / 13	492.0	429.0	326.0	308.0	11.0	7.0	3.0	256.0	131.0	85.0	6.0	2.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	заведующие кафедрами / 10	77.0	73.0	58.0	52.0	6.0	2.0	1.0	49.0	17.0	13.0	5.0	2.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	из них:  ректор / 02	2.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	из них: профессорско-преподавательский состав, осуществляющий  образовательную деятельность по образовательным программам высшего образования - программам бакалавриата,  специалитета, магистратуры (сумма строк 09-16) / 08	902.0	785.0	594.0	572.0	26.0	12.0	4.0	480.0	215.0	172.0	17.0	4.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	инженеры по телекоммуникациям / 26	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	инженеры-электроники / 25	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	иные педагогические работники / 17	28.0	22.0	22.0	2.0	0.0	0.0	0.0	17.0	17.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	квалифицированные рабочие:  монтажники и ремонтники электронного и  телекоммуникационного оборудования / 31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	президент / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
